Change,Chg,Closing_price,Highest_price,Minimum_price,Opening_price,Turnover,VWAP,Volume,contract,data
1.35,0.48%,281.32,281.44,279.21,279.61,"3,046,876,956.00",280.43,"10,864.80",mAu(T+D),2019-03-06
-1.07,-0.55%,192.95,193.62,192.95,193.62,"31,656,620.00",193.02,164.00,Pt99.95,2019-03-06
34,0.95%,"3,602","3,603","3,569","3,575","17,079,541,644.00","3,583","4,766,104.00",Ag(T+D),2019-03-06
-0.02,-0.01%,285.45,285.60,285.40,285.60,"188,414.40",285.47,0.66,PGC30g,2019-03-06
-1.54,-0.55%,279.80,280.55,279.50,280.50,"475,734,820.00",280.17,"1,698.00",Au99.95,2019-03-07
-1.25,-0.44%,280.00,284.49,279.70,281.25,"7,064,540,473.80",280.23,"25,292.36",Au99.99,2019-03-07
-0.11,-0.04%,280.32,281.81,280.10,281.30,"5,502,910.00",280.76,19.60,Au100g,2019-03-07
-1.12,-0.40%,277.74,278.50,277.50,278.11,"913,191,574.20",278.04,"3,284.34",iAu99.99,2019-03-07
-0.16,-0.06%,279.90,280.80,279.70,280.34,"16,946,710,700.00",280.25,"60,468.00",Au(T+D),2019-03-07
-0.80,-0.28%,280.95,281.95,280.60,281.50,"948,735,200.00",281.45,"3,371.00",Au(T+N1),2019-03-07
-0.75,-0.26%,283.95,285.00,283.80,284.90,"8,761,730.00",284.45,30.80,Au(T+N2),2019-03-07
-0.32,-0.11%,280.11,281.03,279.82,280.31,"2,307,886,848.00",280.39,"8,230.80",mAu(T+D),2019-03-07
-1.70,-0.88%,191.25,191.30,190.95,191.30,"56,220,160.00",191.22,294.00,Pt99.95,2019-03-07
14,0.39%,"3,597","3,607","3,590","3,590","11,608,018,134.00","3,597","3,226,882.00",Ag(T+D),2019-03-07
0.36,0.13%,285.81,286.00,285.50,285.50,"102,894.00",285.81,0.36,PGC30g,2019-03-07
2.60,0.93%,282.40,282.80,281.00,281.00,"182,021,940.00",281.76,646.00,Au99.95,2019-03-08
2.54,0.91%,282.54,282.55,279.51,281.31,"5,082,707,680.60",281.64,"18,067.30",Au99.99,2019-03-08
2.18,0.78%,282.50,282.50,279.61,279.61,"5,471,602.00",282.04,19.40,Au100g,2019-03-08
2.06,0.74%,279.80,279.80,277.49,277.80,"1,041,590,943.60",279.08,"3,732.18",iAu99.99,2019-03-08
2.22,0.79%,282.47,282.49,279.77,280.44,"21,885,636,540.00",281.14,"77,844.00",Au(T+D),2019-03-08
2.10,0.75%,283.55,284.45,280.60,282.45,"593,834,650.00",283.15,"2,097.20",Au(T+N1),2019-03-08
2.00,0.70%,286.45,286.65,283.95,284.05,"29,386,910.00",285.30,103.00,Au(T+N2),2019-03-08
2.12,0.76%,282.51,282.56,280.06,280.53,"3,099,946,718.00",281.54,"11,010.40",mAu(T+D),2019-03-08
-1.89,-0.99%,189.36,189.60,188.75,188.75,"56,719,500.00",189.06,300.00,Pt99.95,2019-03-08
12,0.33%,"3,609","3,611","3,586","3,598","12,823,308,954.00","3,598","3,563,502.00",Ag(T+D),2019-03-08
-0.15,-0.05%,285.66,286.00,285.50,285.50,"51,420.00",285.66,0.18,PGC30g,2019-03-08
-0.44,-0.15%,288.29,288.50,287.80,288.20,"435,798,060.00",288.23,"1,524.00",Au99.95,2019-02-25
-0.58,-0.20%,288.33,289.80,287.62,288.91,"6,756,483,880.20",288.41,"23,433.54",Au99.99,2019-02-25
-0.46,-0.16%,288.73,289.00,287.65,287.65,"8,773,032.00",288.58,30.40,Au100g,2019-02-25
-0.60,-0.21%,286.24,287.51,285.00,287.30,"4,809,974,911.60",286.13,"16,810.04",iAu99.99,2019-02-25
-0.91,-0.31%,288.34,289.61,287.75,288.05,"15,093,021,480.00",288.34,"52,344.00",Au(T+D),2019-02-25
-1.35,-0.46%,289.50,290.50,288.85,289.40,"1,141,801,000.00",289.30,"3,946.80",Au(T+N1),2019-02-25
-1.15,-0.39%,292.75,293.60,292.00,292.50,"42,948,400.00",292.95,146.60,Au(T+N2),2019-02-25
